METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",2,1,100,1,9.855923
"DEbest","ackley",2,1,120,2,9.079363
"DEbest","ackley",2,1,140,3,4.630888
"DEbest","ackley",2,1,160,4,3.956677
"DEbest","ackley",2,1,180,5,2.877495
"DEbest","ackley",2,1,200,6,2.624761
"DEbest","ackley",2,1,220,7,1.813161
"DEbest","ackley",2,1,240,8,1.813161
"DEbest","ackley",2,1,260,9,1.726278
"DEbest","ackley",2,1,280,10,1.658821
"DEbest","ackley",2,1,300,11,0.298301
"DEbest","ackley",2,1,320,12,0.298301
"DEbest","ackley",2,1,340,13,0.296225
"DEbest","ackley",2,1,360,14,0.144643
"DEbest","ackley",2,1,380,15,0.144643
"DEbest","ackley",2,1,400,16,0.060925
"DEbest","ackley",2,1,420,17,0.060925
"DEbest","ackley",2,1,440,18,0.018562
"DEbest","ackley",2,1,460,19,0.007739
"DEbest","ackley",2,1,480,20,0.007739
"DEbest","ackley",2,1,500,21,0.007739
"DEbest","ackley",2,1,520,22,0.007739
"DEbest","ackley",2,1,540,23,0.003641
"DEbest","ackley",2,1,560,24,0.003641
"DEbest","ackley",2,1,580,25,0.002628
"DEbest","ackley",2,1,600,26,0.002628
"DEbest","ackley",2,1,620,27,0.001554
"DEbest","ackley",2,1,640,28,0.001554
"DEbest","ackley",2,1,660,29,0.000473
"DEbest","ackley",2,1,680,30,0.000378
"DEbest","ackley",2,1,700,31,0.000244
"DEbest","ackley",2,1,720,32,0.000042
"DEbest","ackley",2,1,740,33,0.000042
"DEbest","ackley",2,1,760,34,0.000025
"DEbest","ackley",2,1,780,35,0.000025
"DEbest","ackley",2,1,800,36,0.000025
"DEbest","ackley",2,1,820,37,0.000025
"DEbest","ackley",2,1,840,38,0.000014
"DEbest","ackley",2,1,860,39,0.000012
"DEbest","ackley",2,1,880,40,0.000008
"DEbest","ackley",2,1,900,41,0.000008
"DEbest","ackley",2,1,920,42,0.000005
"DEbest","ackley",2,1,940,43,0.000005
"DEbest","ackley",2,1,960,44,0.000002
"DEbest","ackley",2,1,980,45,0.000001
"DEbest","ackley",2,1,1000,46,0.000001
"DEbest","ackley",2,2,100,1,7.681419
"DEbest","ackley",2,2,120,2,7.681419
"DEbest","ackley",2,2,140,3,7.681419
"DEbest","ackley",2,2,160,4,3.050851
"DEbest","ackley",2,2,180,5,3.050851
"DEbest","ackley",2,2,200,6,3.050851
"DEbest","ackley",2,2,220,7,2.622741
"DEbest","ackley",2,2,240,8,0.859010
"DEbest","ackley",2,2,260,9,0.472562
"DEbest","ackley",2,2,280,10,0.432193
"DEbest","ackley",2,2,300,11,0.432193
"DEbest","ackley",2,2,320,12,0.432193
"DEbest","ackley",2,2,340,13,0.412144
"DEbest","ackley",2,2,360,14,0.350035
"DEbest","ackley",2,2,380,15,0.234111
"DEbest","ackley",2,2,400,16,0.125112
"DEbest","ackley",2,2,420,17,0.029017
"DEbest","ackley",2,2,440,18,0.029017
"DEbest","ackley",2,2,460,19,0.022070
"DEbest","ackley",2,2,480,20,0.017765
"DEbest","ackley",2,2,500,21,0.017765
"DEbest","ackley",2,2,520,22,0.011145
"DEbest","ackley",2,2,540,23,0.008944
"DEbest","ackley",2,2,560,24,0.003793
"DEbest","ackley",2,2,580,25,0.003793
"DEbest","ackley",2,2,600,26,0.003430
"DEbest","ackley",2,2,620,27,0.000525
"DEbest","ackley",2,2,640,28,0.000525
"DEbest","ackley",2,2,660,29,0.000525
"DEbest","ackley",2,2,680,30,0.000497
"DEbest","ackley",2,2,700,31,0.000497
"DEbest","ackley",2,2,720,32,0.000417
"DEbest","ackley",2,2,740,33,0.000270
"DEbest","ackley",2,2,760,34,0.000036
"DEbest","ackley",2,2,780,35,0.000036
"DEbest","ackley",2,2,800,36,0.000036
"DEbest","ackley",2,2,820,37,0.000036
"DEbest","ackley",2,2,840,38,0.000036
"DEbest","ackley",2,2,860,39,0.000036
"DEbest","ackley",2,2,880,40,0.000032
"DEbest","ackley",2,2,900,41,0.000013
"DEbest","ackley",2,2,920,42,0.000013
"DEbest","ackley",2,2,940,43,0.000011
"DEbest","ackley",2,2,960,44,0.000011
"DEbest","ackley",2,2,980,45,0.000008
"DEbest","ackley",2,2,1000,46,0.000007
"DEbest","ackley",2,3,100,1,9.839072
"DEbest","ackley",2,3,120,2,6.653072
"DEbest","ackley",2,3,140,3,6.571273
"DEbest","ackley",2,3,160,4,4.847438
"DEbest","ackley",2,3,180,5,4.847438
"DEbest","ackley",2,3,200,6,4.562705
"DEbest","ackley",2,3,220,7,1.747169
"DEbest","ackley",2,3,240,8,1.747169
"DEbest","ackley",2,3,260,9,1.247507
"DEbest","ackley",2,3,280,10,0.315594
"DEbest","ackley",2,3,300,11,0.315594
"DEbest","ackley",2,3,320,12,0.288536
"DEbest","ackley",2,3,340,13,0.250406
"DEbest","ackley",2,3,360,14,0.048477
"DEbest","ackley",2,3,380,15,0.048477
"DEbest","ackley",2,3,400,16,0.044503
"DEbest","ackley",2,3,420,17,0.021818
"DEbest","ackley",2,3,440,18,0.021818
"DEbest","ackley",2,3,460,19,0.021818
"DEbest","ackley",2,3,480,20,0.016556
"DEbest","ackley",2,3,500,21,0.016556
"DEbest","ackley",2,3,520,22,0.008603
"DEbest","ackley",2,3,540,23,0.003160
"DEbest","ackley",2,3,560,24,0.003160
"DEbest","ackley",2,3,580,25,0.003011
"DEbest","ackley",2,3,600,26,0.001296
"DEbest","ackley",2,3,620,27,0.001240
"DEbest","ackley",2,3,640,28,0.000153
"DEbest","ackley",2,3,660,29,0.000153
"DEbest","ackley",2,3,680,30,0.000153
"DEbest","ackley",2,3,700,31,0.000153
"DEbest","ackley",2,3,720,32,0.000153
"DEbest","ackley",2,3,740,33,0.000115
"DEbest","ackley",2,3,760,34,0.000115
"DEbest","ackley",2,3,780,35,0.000062
"DEbest","ackley",2,3,800,36,0.000062
"DEbest","ackley",2,3,820,37,0.000042
"DEbest","ackley",2,3,840,38,0.000003
"DEbest","ackley",2,3,860,39,0.000003
"DEbest","ackley",2,3,880,40,0.000003
"DEbest","ackley",2,3,900,41,0.000003
"DEbest","ackley",2,3,920,42,0.000003
"DEbest","ackley",2,3,940,43,0.000003
"DEbest","ackley",2,3,960,44,0.000001
"DEbest","ackley",2,3,980,45,0.000001
"DEbest","ackley",2,3,1000,46,0.000001
